date,time,kWh,datetime,hour,weekday,month
2025-07-01,00:00,0.119,2025-07-01 00:00:00,0,Tuesday,7
2025-07-01,00:15,0.118,2025-07-01 00:15:00,0,Tuesday,7
2025-07-01,00:30,0.121,2025-07-01 00:30:00,0,Tuesday,7
2025-07-01,00:45,0.153,2025-07-01 00:45:00,0,Tuesday,7
2025-07-01,01:00,0.12,2025-07-01 01:00:00,1,Tuesday,7
2025-07-01,01:15,0.065,2025-07-01 01:15:00,1,Tuesday,7
2025-07-01,01:30,0.138,2025-07-01 01:30:00,1,Tuesday,7
2025-07-01,01:45,0.114,2025-07-01 01:45:00,1,Tuesday,7
2025-07-01,02:00,0.116,2025-07-01 02:00:00,2,Tuesday,7
2025-07-01,02:15,0.13,2025-07-01 02:15:00,2,Tuesday,7
2025-07-01,02:30,0.134,2025-07-01 02:30:00,2,Tuesday,7
2025-07-01,02:45,0.172,2025-07-01 02:45:00,2,Tuesday,7
2025-07-01,03:00,0.151,2025-07-01 03:00:00,3,Tuesday,7
2025-07-01,03:15,0.129,2025-07-01 03:15:00,3,Tuesday,7
2025-07-01,03:30,0.095,2025-07-01 03:30:00,3,Tuesday,7
2025-07-01,03:45,0.084,2025-07-01 03:45:00,3,Tuesday,7
2025-07-01,04:00,0.135,2025-07-01 04:00:00,4,Tuesday,7
2025-07-01,04:15,0.177,2025-07-01 04:15:00,4,Tuesday,7
2025-07-01,04:30,0.127,2025-07-01 04:30:00,4,Tuesday,7
2025-07-01,04:45,0.121,2025-07-01 04:45:00,4,Tuesday,7
2025-07-01,05:00,0.146,2025-07-01 05:00:00,5,Tuesday,7
2025-07-01,05:15,0.067,2025-07-01 05:15:00,5,Tuesday,7
2025-07-01,05:30,0.113,2025-07-01 05:30:00,5,Tuesday,7
2025-07-01,05:45,0.145,2025-07-01 05:45:00,5,Tuesday,7
2025-07-01,06:00,0.722,2025-07-01 06:00:00,6,Tuesday,7
2025-07-01,06:15,0.678,2025-07-01 06:15:00,6,Tuesday,7
2025-07-01,06:30,0.703,2025-07-01 06:30:00,6,Tuesday,7
2025-07-01,06:45,0.697,2025-07-01 06:45:00,6,Tuesday,7
2025-07-01,07:00,0.719,2025-07-01 07:00:00,7,Tuesday,7
2025-07-01,07:15,0.643,2025-07-01 07:15:00,7,Tuesday,7
2025-07-01,07:30,0.71,2025-07-01 07:30:00,7,Tuesday,7
2025-07-01,07:45,0.627,2025-07-01 07:45:00,7,Tuesday,7
2025-07-01,08:00,0.583,2025-07-01 08:00:00,8,Tuesday,7
2025-07-01,08:15,0.663,2025-07-01 08:15:00,8,Tuesday,7
2025-07-01,08:30,0.651,2025-07-01 08:30:00,8,Tuesday,7
2025-07-01,08:45,0.723,2025-07-01 08:45:00,8,Tuesday,7
2025-07-01,09:00,0.464,2025-07-01 09:00:00,9,Tuesday,7
2025-07-01,09:15,0.389,2025-07-01 09:15:00,9,Tuesday,7
2025-07-01,09:30,0.471,2025-07-01 09:30:00,9,Tuesday,7
2025-07-01,09:45,0.397,2025-07-01 09:45:00,9,Tuesday,7
2025-07-01,10:00,0.434,2025-07-01 10:00:00,10,Tuesday,7
2025-07-01,10:15,0.426,2025-07-01 10:15:00,10,Tuesday,7
2025-07-01,10:30,0.442,2025-07-01 10:30:00,10,Tuesday,7
2025-07-01,10:45,0.47,2025-07-01 10:45:00,10,Tuesday,7
2025-07-01,11:00,0.463,2025-07-01 11:00:00,11,Tuesday,7
2025-07-01,11:15,0.451,2025-07-01 11:15:00,11,Tuesday,7
2025-07-01,11:30,0.463,2025-07-01 11:30:00,11,Tuesday,7
2025-07-01,11:45,0.457,2025-07-01 11:45:00,11,Tuesday,7
2025-07-01,12:00,0.35,2025-07-01 12:00:00,12,Tuesday,7
2025-07-01,12:15,0.346,2025-07-01 12:15:00,12,Tuesday,7
2025-07-01,12:30,0.356,2025-07-01 12:30:00,12,Tuesday,7
2025-07-01,12:45,0.395,2025-07-01 12:45:00,12,Tuesday,7
2025-07-01,13:00,0.365,2025-07-01 13:00:00,13,Tuesday,7
2025-07-01,13:15,0.468,2025-07-01 13:15:00,13,Tuesday,7
2025-07-01,13:30,0.342,2025-07-01 13:30:00,13,Tuesday,7
2025-07-01,13:45,0.331,2025-07-01 13:45:00,13,Tuesday,7
2025-07-01,14:00,0.406,2025-07-01 14:00:00,14,Tuesday,7
2025-07-01,14:15,0.432,2025-07-01 14:15:00,14,Tuesday,7
2025-07-01,14:30,0.395,2025-07-01 14:30:00,14,Tuesday,7
2025-07-01,14:45,0.408,2025-07-01 14:45:00,14,Tuesday,7
2025-07-01,15:00,0.495,2025-07-01 15:00:00,15,Tuesday,7
2025-07-01,15:15,0.434,2025-07-01 15:15:00,15,Tuesday,7
2025-07-01,15:30,0.381,2025-07-01 15:30:00,15,Tuesday,7
2025-07-01,15:45,0.416,2025-07-01 15:45:00,15,Tuesday,7
2025-07-01,16:00,0.476,2025-07-01 16:00:00,16,Tuesday,7
2025-07-01,16:15,0.38,2025-07-01 16:15:00,16,Tuesday,7
2025-07-01,16:30,0.439,2025-07-01 16:30:00,16,Tuesday,7
2025-07-01,16:45,0.448,2025-07-01 16:45:00,16,Tuesday,7
2025-07-01,17:00,0.425,2025-07-01 17:00:00,17,Tuesday,7
2025-07-01,17:15,0.466,2025-07-01 17:15:00,17,Tuesday,7
2025-07-01,17:30,0.461,2025-07-01 17:30:00,17,Tuesday,7
2025-07-01,17:45,0.53,2025-07-01 17:45:00,17,Tuesday,7
2025-07-01,18:00,0.9,2025-07-01 18:00:00,18,Tuesday,7
2025-07-01,18:15,0.851,2025-07-01 18:15:00,18,Tuesday,7
2025-07-01,18:30,0.853,2025-07-01 18:30:00,18,Tuesday,7
2025-07-01,18:45,0.842,2025-07-01 18:45:00,18,Tuesday,7
2025-07-01,19:00,0.913,2025-07-01 19:00:00,19,Tuesday,7
2025-07-01,19:15,0.852,2025-07-01 19:15:00,19,Tuesday,7
2025-07-01,19:30,0.872,2025-07-01 19:30:00,19,Tuesday,7
2025-07-01,19:45,0.905,2025-07-01 19:45:00,19,Tuesday,7
2025-07-01,20:00,0.846,2025-07-01 20:00:00,20,Tuesday,7
2025-07-01,20:15,0.863,2025-07-01 20:15:00,20,Tuesday,7
2025-07-01,20:30,0.801,2025-07-01 20:30:00,20,Tuesday,7
2025-07-01,20:45,0.832,2025-07-01 20:45:00,20,Tuesday,7
2025-07-01,21:00,0.852,2025-07-01 21:00:00,21,Tuesday,7
2025-07-01,21:15,0.892,2025-07-01 21:15:00,21,Tuesday,7
2025-07-01,21:30,0.923,2025-07-01 21:30:00,21,Tuesday,7
2025-07-01,21:45,0.874,2025-07-01 21:45:00,21,Tuesday,7
2025-07-01,22:00,0.385,2025-07-01 22:00:00,22,Tuesday,7
2025-07-01,22:15,0.382,2025-07-01 22:15:00,22,Tuesday,7
2025-07-01,22:30,0.418,2025-07-01 22:30:00,22,Tuesday,7
2025-07-01,22:45,0.411,2025-07-01 22:45:00,22,Tuesday,7
2025-07-01,23:00,0.386,2025-07-01 23:00:00,23,Tuesday,7
2025-07-01,23:15,0.335,2025-07-01 23:15:00,23,Tuesday,7
2025-07-01,23:30,0.411,2025-07-01 23:30:00,23,Tuesday,7
2025-07-01,23:45,0.39,2025-07-01 23:45:00,23,Tuesday,7
2025-07-02,00:00,0.174,2025-07-02 00:00:00,0,Wednesday,7
2025-07-02,00:15,0.124,2025-07-02 00:15:00,0,Wednesday,7
2025-07-02,00:30,0.203,2025-07-02 00:30:00,0,Wednesday,7
2025-07-02,00:45,0.111,2025-07-02 00:45:00,0,Wednesday,7
2025-07-02,01:00,0.189,2025-07-02 01:00:00,1,Wednesday,7
2025-07-02,01:15,0.13,2025-07-02 01:15:00,1,Wednesday,7
2025-07-02,01:30,0.104,2025-07-02 01:30:00,1,Wednesday,7
2025-07-02,01:45,0.08,2025-07-02 01:45:00,1,Wednesday,7
2025-07-02,02:00,0.119,2025-07-02 02:00:00,2,Wednesday,7
2025-07-02,02:15,0.182,2025-07-02 02:15:00,2,Wednesday,7
2025-07-02,02:30,0.158,2025-07-02 02:30:00,2,Wednesday,7
2025-07-02,02:45,0.153,2025-07-02 02:45:00,2,Wednesday,7
2025-07-02,03:00,0.03,2025-07-02 03:00:00,3,Wednesday,7
2025-07-02,03:15,0.153,2025-07-02 03:15:00,3,Wednesday,7
2025-07-02,03:30,0.147,2025-07-02 03:30:00,3,Wednesday,7
2025-07-02,03:45,0.103,2025-07-02 03:45:00,3,Wednesday,7
2025-07-02,04:00,0.1,2025-07-02 04:00:00,4,Wednesday,7
2025-07-02,04:15,0.125,2025-07-02 04:15:00,4,Wednesday,7
2025-07-02,04:30,0.194,2025-07-02 04:30:00,4,Wednesday,7
2025-07-02,04:45,0.083,2025-07-02 04:45:00,4,Wednesday,7
2025-07-02,05:00,0.108,2025-07-02 05:00:00,5,Wednesday,7
2025-07-02,05:15,0.179,2025-07-02 05:15:00,5,Wednesday,7
2025-07-02,05:30,0.107,2025-07-02 05:30:00,5,Wednesday,7
2025-07-02,05:45,0.11,2025-07-02 05:45:00,5,Wednesday,7
2025-07-02,06:00,0.691,2025-07-02 06:00:00,6,Wednesday,7
2025-07-02,06:15,0.638,2025-07-02 06:15:00,6,Wednesday,7
2025-07-02,06:30,0.696,2025-07-02 06:30:00,6,Wednesday,7
2025-07-02,06:45,0.639,2025-07-02 06:45:00,6,Wednesday,7
2025-07-02,07:00,0.723,2025-07-02 07:00:00,7,Wednesday,7
2025-07-02,07:15,0.688,2025-07-02 07:15:00,7,Wednesday,7
2025-07-02,07:30,0.779,2025-07-02 07:30:00,7,Wednesday,7
2025-07-02,07:45,0.699,2025-07-02 07:45:00,7,Wednesday,7
2025-07-02,08:00,0.742,2025-07-02 08:00:00,8,Wednesday,7
2025-07-02,08:15,0.635,2025-07-02 08:15:00,8,Wednesday,7
2025-07-02,08:30,0.683,2025-07-02 08:30:00,8,Wednesday,7
2025-07-02,08:45,0.7,2025-07-02 08:45:00,8,Wednesday,7
2025-07-02,09:00,0.507,2025-07-02 09:00:00,9,Wednesday,7
2025-07-02,09:15,0.37,2025-07-02 09:15:00,9,Wednesday,7
2025-07-02,09:30,0.477,2025-07-02 09:30:00,9,Wednesday,7
2025-07-02,09:45,0.461,2025-07-02 09:45:00,9,Wednesday,7
2025-07-02,10:00,0.499,2025-07-02 10:00:00,10,Wednesday,7
2025-07-02,10:15,0.466,2025-07-02 10:15:00,10,Wednesday,7
2025-07-02,10:30,0.44,2025-07-02 10:30:00,10,Wednesday,7
2025-07-02,10:45,0.417,2025-07-02 10:45:00,10,Wednesday,7
2025-07-02,11:00,0.388,2025-07-02 11:00:00,11,Wednesday,7
2025-07-02,11:15,0.445,2025-07-02 11:15:00,11,Wednesday,7
2025-07-02,11:30,0.43,2025-07-02 11:30:00,11,Wednesday,7
2025-07-02,11:45,0.518,2025-07-02 11:45:00,11,Wednesday,7
2025-07-02,12:00,0.351,2025-07-02 12:00:00,12,Wednesday,7
2025-07-02,12:15,0.388,2025-07-02 12:15:00,12,Wednesday,7
2025-07-02,12:30,0.312,2025-07-02 12:30:00,12,Wednesday,7
2025-07-02,12:45,0.359,2025-07-02 12:45:00,12,Wednesday,7
2025-07-02,13:00,0.385,2025-07-02 13:00:00,13,Wednesday,7
2025-07-02,13:15,0.408,2025-07-02 13:15:00,13,Wednesday,7
2025-07-02,13:30,0.433,2025-07-02 13:30:00,13,Wednesday,7
2025-07-02,13:45,0.373,2025-07-02 13:45:00,13,Wednesday,7
2025-07-02,14:00,0.33,2025-07-02 14:00:00,14,Wednesday,7
2025-07-02,14:15,0.393,2025-07-02 14:15:00,14,Wednesday,7
2025-07-02,14:30,0.396,2025-07-02 14:30:00,14,Wednesday,7
2025-07-02,14:45,0.395,2025-07-02 14:45:00,14,Wednesday,7
2025-07-02,15:00,0.409,2025-07-02 15:00:00,15,Wednesday,7
2025-07-02,15:15,0.483,2025-07-02 15:15:00,15,Wednesday,7
2025-07-02,15:30,0.441,2025-07-02 15:30:00,15,Wednesday,7
2025-07-02,15:45,0.465,2025-07-02 15:45:00,15,Wednesday,7
2025-07-02,16:00,0.488,2025-07-02 16:00:00,16,Wednesday,7
2025-07-02,16:15,0.462,2025-07-02 16:15:00,16,Wednesday,7
2025-07-02,16:30,0.449,2025-07-02 16:30:00,16,Wednesday,7
2025-07-02,16:45,0.524,2025-07-02 16:45:00,16,Wednesday,7
2025-07-02,17:00,0.447,2025-07-02 17:00:00,17,Wednesday,7
2025-07-02,17:15,0.426,2025-07-02 17:15:00,17,Wednesday,7
